lat,lon,id,"location",levee_econ,levee_par,levee_life_safety,levee_performance_index,dam_econ,dam_par,dam_life_safety,combined_econ,combined_par,combined_life_safety
35.13715,-106.6257,1,"Albuquerque, NM",0,0,0,0,0,182600,0,0,182600,0
33.83074,-84.33501,2,"Atlanta, GA",0,0,0,0,0,147900,0,0,147900,0
35.35807,-119.03406,3,"Bakersfield, CA",0,0,0,0,23.509,340200,49,23.509,340200,49
43.61565,-116.28612,4,"Boise, ID",0,0,0,0,0,121400,0,0,0,0
38.44504,-82.53129,5,"Charleston-Huntington, WV-KY-OH",0.4753775,0,2.580079,0.05238,1.3007,0,0,1.7760775,0,2.639079
36.56944,-87.36393,6,"Clarksville-Nashville, TN",0,0,0,0,11.033,116100,31,11.033,0,31
40.00588,-82.97028,7,"Columbus, OH",0,0,0,0,0.426,0,0,0,0,0
32.80925,-96.97618,8,"Dallas/Fort Worth-Denton, TX",0,42543.39113,0.61956288,0,1.2058,239000,0.12,1.30233373,281543.3911,0
41.9524,-88.7308,9,"Dekalb, IL",0,0,0,0.105,0,0,0,0,0,0
39.71453,-104.98599,10,"Denver-Aurora, CO",0,0,0,0,1.03,125500,0.12,1.03,0,0
37.97606,-87.52914,11,"Evansville, IN-KY",0.3228582,67964.67033,0.909334,0.0376,0,0,0,0,0,0.909334
36.79048,-119.77034,12,"Fresno, CA",0,0,0,0,0,235800,0,0,235800,0
47.91024,-97.05152,13,"Grand Forks, ND-MN",0,57526.78002,0,0,0,0,0,0,0,0
41.72693,-72.71644,14,"Hartford, CT",0,0,0.982083,0,0,0,0,0,0,0.982083
34.47603,-93.07114,15,"Hot Springs, AR",0,0,0,0,0,0,0.19,0,0,0
29.7723,-95.38539,16,"Houston, TX",0,0,0,0,14.84,740700,20,14.84,740700,20
39.03854,-94.58497,17,"Kansas City, MO-KS",0.291466,53842.08935,0.487358,0,0,0,0,0,0,0
29.05665,-95.42152,18,"Lake Jackson-Angleton, TX",1.47,45902.74628,0.574,0,0,0,0,1.47,0,0
40.80753,-96.68964,19,"Lincoln, NE",0,0,0,0.1272,0,0,0,0,0,0
46.1527,-122.94277,20,"Longview, WA-OR",0,50089.19238,0.690356,0,0,0,0,0,0,0
33.98168,-118.11269,21,"Los Angeles-Long Beach-Santa Ana, CA",2.87784,736344.6201,4.487749,0.10617,1.758,1821700,0.1,4.63584,2558044.62,4.587749
37.8053,-121.21541,22,"Manteca, CA",0,0,0,0.0315,0,0,0,0,0,0
35.11178,-89.92563,23,"Memphis, TN-MS-AR",0.9754,455951.3356,2.3529,0,0,0,0,0.9754,455951.3356,2.3529
48.45854,-122.30654,24,"Mount Vernon, WA",0.8705,0,0,0.0772,0,0,0,0.8705,0,0
29.95235,-90.09101,25,"New Orleans, LA",1.0301,484449.796,5.2455,0,0,0,0,1.0301,484449.796,5.2455
41.41329,-72.10035,26,"Norwich/New London, CT",0,0,0,0,0.4677,0,0,0,0,0
40.44965,-79.94828,27,"Pittsburgh, PA",0,0,0,0,0,0,0.078,0,0,0
29.94332,-93.96678,28,"Port Arthur, TX",2.01,89704.60003,0.706,0,0,0,0,2.01,0,0
36.0756,-119.03079,29,"Porterville, CA",0,0,0,0,0,0,0.12,0,0,0
45.515,-122.64142,30,"Portland-Salem-Corvalis-Eugene, OR",0,0,0,0.04701,1.5596,230200,0.32,1.735247,260024.329,0.7559
39.53707,-119.79988,31,"Reno, NV",0,0,0,0,1.135,0,2.4,1.135,0,2.4
37.4806,-77.47262,32,"Richmond-Lynchburg, VA",0,0,0,0,0,0,0.13,0,0,0
38.64593,-121.32656,33,"Sacramento, CA",9.897197,631051.6345,27.654678,0.06154,0,0,0,9.897197,631051.6345,27.654678
31.44532,-100.45918,34,"San Angelo, TX",0,0,0,0,0.2503,0,0.11,0,0,0
37.67556,-122.24945,35,"San Francisco-Oakland, CA",0.21756,164780.3374,0,0.05079,0,0,0,0,164780.3374,0
47.47607,-122.26628,36,"Seattle-Tacoma, WA",0.7696948,64965.4215,0,0.41656,0,187100,0,0.7696948,252065.4215,0
42.09765,-72.58312,37,"Springfield, MA-CT",0,0,0,0.077768,0,0,0,0,0,0
38.62958,-90.32826,38,"St. Louis, MO-IL",1.3483,129475.6214,13.759,0,0,0,0,1.3483,0,13.759
37.97269,-121.28775,39,"Stockton, CA",2.5973,0,3.3593,0.0315,0,359500,0,2.7323,394031.1276,3.3593
29.39075,-95.03399,40,"Texas City, TX",0.275,0,0.626,0,0,0,0,0,0,0
36.08632,-95.9105,41,"Tulsa, OK",0,0,0,0,0.8979,0,0.099,0.8979,0,0
28.8524,-96.95138,42,"Victoria, TX",0,0,0,0,0.347,0,0.31,0,0,0
36.31984,-119.27227,43,"Visalia, CA",0,0,0,0,0.6303,238600,0,0,238600,0
36.92952,-121.76008,44,"Watsonville, CA",0,0,0,0.0841,0,0,0,0,0,0
39.1297,-121.6176,45,"Yuba City, CA",1.084981,72106.33075,5.11116,0.03253,0,0,0,1.084981,0,5.11116
