lat	lon	id	location	levee_econ	levee_par	levee_life_safety	levee_performance_index	dam_econ	dam_par	dam_life_safety	combined_econ	combined-par	combined_life_safety
35.137150	-106.625700	1	"Albuquerque, NM"	0	0	0	0	0.00	"182,600"	0.00	0.00	"182,600"	0.00
33.830740	-84.335010	2	"Atlanta, GA"	0	0	0	0	0.00	"147,900"	0.00	0.00	"147,900"	0.00
35.358070	-119.034060	3	"Bakersfield, CA"	0	0	0	0	23.51	"340,200"	49.00	23.51	"340,200"	49.00
43.61565	-116.28612	4	"Boise, ID"	0	0	0	0	0.00	"121,400"	0.00	0.00	0	0.00
38.44504	-82.53129	5	"Charleston-Huntington, WV-KY-OH"	0.4753775	0	2.580079	0.05238	1.30	0	0.00	1.78	0	2.64
36.569440	-87.363930	6	"Clarksville-Nashville, TN"	0	0	0	0	11.03	"116,100"	31.00	11.03	0	31.00
40.00588	-82.97028	7	"Columbus, OH"	0	0	0	0	0.43	0	0.00	0.00	0	0.00
32.80925	-96.97618	8	"Dallas/Fort Worth-Denton, TX"	0	42543.39113	0.61956288	0	1.21	"239,000"	0.12	1.30	"281,543"	0.00
41.9524	-88.7308	9	"Dekalb, IL"	0	0	0	0.105	0.00	0	0.00	0.00	0	0.00
39.714530	-104.985990	10	"Denver-Aurora, CO"	0	0	0	0	1.03	"125,500"	0.12	1.03	0	0.00
37.97606	-87.52914	11	"Evansville, IN-KY"	0.3228582	67964.67033	0.909334	0.0376	0.00	0	0.00	0.00	0	0.91
36.790480	-119.770340	12	"Fresno, CA"	0	0	0	0	0.00	"235,800"	0.00	0.00	"235,800"	0.00
47.91024	-97.05152	13	"Grand Forks, ND-MN"	0	57526.78002	0	0	0.00	0	0.00	0.00	0	0.00
41.72693	-72.71644	14	"Hartford, CT"	0	0	0.982083	0	0.00	0	0.00	0.00	0	0.98
34.476030	-93.071140	15	"Hot Springs, AR"	0	0	0	0	0.00	0	0.19	0.00	0	0.00
29.7723	-95.38539	16	"Houston, TX"	0	0	0	0	14.84	"740,700"	20.00	14.84	"740,700"	20.00
39.03854	-94.58497	17	"Kansas City, MO-KS"	0.291466	53842.08935	0.487358	0	0.00	0	0.00	0.00	0	0.00
29.05665	-95.42152	18	"Lake Jackson-Angleton, TX"	1.47	45902.74628	0.574	0	0.00	0	0.00	1.47	0	0.00
40.80753	-96.68964	19	"Lincoln, NE"	0	0	0	0.1272	0.00	0	0.00	0.00	0	0.00
46.1527	-122.94277	20	"Longview, WA-OR"	0	50089.19238	0.690356	0	0.00	0	0.00	0.00	0	0.00
33.98168	-118.11269	21	"Los Angeles-Long Beach-Santa Ana, CA"	2.87784	736344.6201	4.487749	0.10617	1.76	"1,821,700"	0.10	4.64	"2,558,045"	4.59
37.8053	-121.21541	22	"Manteca, CA"	0	0	0	0.0315	0.00	0	0.00	0.00	0	0.00
35.11178	-89.92563	23	"Memphis, TN-MS-AR"	0.9754	455951.3356	2.3529	0	0.00	0	0.00	0.98	"455,951"	2.35
48.45854	-122.30654	24	"Mount Vernon, WA"	0.8705	0	0	0.0772	0.00	0	0.00	0.87	0	0.00
29.95235	-90.09101	25	"New Orleans, LA"	1.0301	484449.796	5.2455	0	0.00	0	0.00	1.03	"484,450"	5.25
41.413290	-72.100350	26	"Norwich/New London, CT"	0	0	0	0	0.47	0	0.00	0.00	0	0.00
40.44965	-79.94828	27	"Pittsburgh, PA"	0	0	0	0	0.00	0	0.08	0.00	0	0.00
29.94332	-93.96678	28	"Port Arthur, TX"	2.01	89704.60003	0.706	0	0.00	0	0.00	2.01	0	0.00
36.075600	-119.030790	29	"Porterville, CA"	0	0	0	0	0.00	0	0.12	0.00	0	0.00
45.515	-122.64142	30	"Portland-Salem-Corvalis-Eugene, OR"	0	0	0	0.04701	1.56	"230,200"	0.32	1.74	"260,024"	0.76
39.537070	-119.799880	31	"Reno, NV"	0	0	0	0	1.14	0	2.40	1.14	0	2.40
37.480600	-77.472620	32	"Richmond-Lynchburg, VA"	0	0	0	0	0.00	0	0.13	0.00	0	0.00
38.64593	-121.32656	33	"Sacramento, CA"	9.897197	631051.6345	27.654678	0.06154	0.00	0	0.00	9.90	"631,052"	27.65
31.445320	-100.459180	34	"San Angelo, TX"	0	0	0	0	0.25	0	0.11	0.00	0	0.00
37.67556	-122.24945	35	"San Francisco-Oakland, CA"	0.21756	164780.3374	0	0.05079	0.00	0	0.00	0.00	"164,780"	0.00
47.47607	-122.26628	36	"Seattle-Tacoma, WA"	0.7696948	64965.4215	0	0.41656	0.00	"187,100"	0.00	0.77	"252,065"	0.00
42.09765	-72.58312	37	"Springfield, MA-CT"	0	0	0	0.077768	0.00	0	0.00	0.00	0	0.00
38.62958	-90.32826	38	"St. Louis, MO-IL"	1.3483	129475.6214	13.759	0	0.00	0	0.00	1.35	0	13.76
37.97269	-121.28775	39	"Stockton, CA"	2.5973	0	3.3593	0.0315	0.00	"359,500"	0.00	2.73	"394,031"	3.36
29.39075	-95.03399	40	"Texas City, TX"	0.275	0	0.626	0	0.00	0	0.00	0.00	0	0.00
36.086320	-95.910500	41	"Tulsa, OK"	0	0	0	0	0.90	0	0.10	0.90	0	0.00
28.852400	-96.951380	42	"Victoria, TX"	0	0	0	0	0.35	0	0.31	0.00	0	0.00
36.319840	-119.272270	43	"Visalia, CA"	0	0	0	0	0.63	"238,600"	0.00	0.00	"238,600"	0.00
36.92952	-121.76008	44	"Watsonville, CA"	0	0	0	0.0841	0.00	0	0.00	0.00	0	0.00
39.1297	-121.6176	45	"Yuba City, CA"	1.084981	72106.33075	5.11116	0.03253	0.00	0	0.00	1.08	0	5.11
